red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Yves Jabouin,Felipe Arantes,220,-260,f,0,1.3846,480,9,-12.7,-2.53999999999999,2,0,1,0,-1,0,0,0,2,2.9365,0.4286,0.0635,0,2015-08-23,f,Bantamweight,MALE,3,1,0,1,4,19,0,1,0,3,Orthodox,172.72,185.42,1,0,3,4,20,0,0,0,5,Orthodox,170.18,172.72,36,27,20,20
Marcos Rogerio de Lima,Nikita Krylov,-150,130,f,0,2.3,-280,7,-5.08000000000001,-5.08000000000001,-1,-2,-5,0,0,-1,0,0,0,9.9,0.6,0,0,2015-08-23,f,Light Heavyweight,MALE,3,0,2,2,2,7,0,2,1,3,Orthodox,190.5,195.58,0,2,2,0,2,0,2,0,2,Orthodox,185.42,190.5,30,23,20,20
Chris Kelades,Chris Beal,140,-160,t,2.4,0,300,4,-2.53999999999999,0,-1,0,-2,0,-1,0,0,0,-1,7.3333,-0.1667,0.6667,0,2015-08-23,f,Flyweight,MALE,3,1,0,2,1,8,0,1,0,2,Orthodox,170.18,175.26,1,0,1,1,6,0,0,0,1,Orthodox,170.18,172.72,34,30,20,20
Shane Campbell,Elias Silverio,210,-250,t,3.1,0,460,0,-5.07999999999998,2.53999999999999,-3,0,-11,0,0,-1,0,0,-3,37.75,0.25,1.5,0,2015-08-23,f,Lightweight,MALE,3,1,0,3,1,12,0,0,1,3,Orthodox,180.34,185.42,1,0,0,1,1,0,0,0,0,Orthodox,182.88,180.34,28,28,20,20
Misha Cirkunov,Daniel Jolly,-570,435,t,1.1754,0,-1005,-2,5.08000000000001,5.08000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-23,f,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,28,30,20,20
Glover Teixeira,Ovince Saint Preux,120,-140,t,2.2,0,260,3,-10.16,-2.53999999999999,-1,1,2,1,-3,1,-2,2,1,-21.2857,-0.1429,-0.7143,-2,2015-08-08,f,Light Heavyweight,MALE,5,0,2,4,1,14,0,4,1,6,Southpaw,190.5,203.2,2,0,5,2,16,1,1,2,5,Orthodox,187.96,193.04,35,32,6,4
Michael Johnson,Beneil Dariush,-140,120,f,0,2.2,-260,3,2.53999999999999,0,3,3,18,1,3,-3,0,0,0,-16.9167,0.8333,0.8333,-7,2015-08-08,f,Lightweight,MALE,3,0,4,4,1,12,0,0,3,5,Southpaw,177.8,182.88,0,4,4,4,30,1,3,0,8,Southpaw,177.8,185.42,29,26,12,5
Derek Brunson,Sam Alvey,-380,315,t,1.2632,0,-695,2,5.08000000000001,-2.54000000000002,1,0,5,0,-2,1,-1,0,-1,4.4,-0.6,-2.2,-5,2015-08-08,f,Middleweight,MALE,3,0,3,3,1,6,0,3,0,3,Southpaw,187.96,190.5,0,2,2,1,11,0,1,1,4,Southpaw,185.42,195.58,31,29,20,15
Jared Rosholt,Tim Johnson,-245,205,t,1.4082,0,-450,-1,-5.08000000000001,-2.53999999999999,3,1,12,0,0,0,0,0,2,-8.2,0,-0.4,0,2015-08-08,f,Heavyweight,MALE,3,0,1,1,0,1,0,1,0,1,Southpaw,190.5,195.58,0,1,3,1,13,0,1,0,4,Orthodox,187.96,190.5,29,30,20,20
Sara McMann,Amanda Nunes,-260,220,f,0,3.2,-480,7,-7.62,-5.08000000000001,-1,1,2,1,-2,0,-1,1,-1,-8,0,-1,-3,2015-08-08,f,Women's Bantamweight,FEMALE,3,0,1,2,1,6,0,3,0,3,Orthodox,172.72,175.26,1,0,1,2,8,1,1,0,2,Orthodox,167.64,167.64,34,27,7,4
Ray Borg,Geane Herrera,-440,350,t,1.2273,0,-790,-3,-7.61999999999998,-2.53999999999999,2,1,7,0,0,2,2,0,2,-11,-2.6667,-3.6667,-6,2015-08-08,f,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,0,2,2,1,7,0,0,2,2,Orthodox,162.56,160.02,22,25,20,14
Uriah Hall,Oluwale Bamgbose,-320,260,t,1.3125,0,-580,3,2.53999999999999,2.53999999999999,3,3,14,1,0,0,0,1,3,-36.1667,-0.1667,-1,0,2015-08-08,f,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Switch,180.34,198.12,1,0,3,3,14,1,0,0,3,Orthodox,182.88,200.66,31,28,20,20
